%  columns=["iteration, evaluation, sigma, void, void, stds==sigma*sqrt(diag(C))" (startseed=215650, 2026/04/11 20:36:59.51)
1 18 2.888937e+00 0 0 2.888456e+00 2.889192e+00 2.888372e+00 2.888572e+00 2.888437e+00 2.888134e+00 2.888366e+00 2.888303e+00 2.889025e+00 2.888895e+00 2.888004e+00 2.888643e+00 2.889799e+00 2.888456e+00 2.888152e+00 2.888090e+00 2.889077e+00 2.890271e+00 2.887847e+00 2.889863e+00 2.888318e+00 2.888674e+00 2.888679e+00 2.888878e+00 2.888286e+00 2.890026e+00 2.889295e+00 2.889831e+00 2.888543e+00 2.888313e+00 2.888276e+00 2.888731e+00 2.888019e+00 2.888377e+00 2.888573e+00 2.888259e+00 2.888453e+00 2.888802e+00 2.888033e+00 2.888244e+00 2.888454e+00 2.888658e+00 2.888461e+00 2.888817e+00 2.887883e+00 2.889700e+00 2.889613e+00 2.888188e+00 2.888049e+00 2.890222e+00 2.889178e+00 2.887988e+00 2.888289e+00 2.888000e+00 2.888304e+00 2.889023e+00 2.888235e+00 2.888206e+00 2.890001e+00 2.888935e+00 2.888034e+00 2.889471e+00 2.887947e+00 2.888178e+00 2.888502e+00 2.888561e+00 2.887877e+00 2.888346e+00 2.887861e+00 2.888494e+00 2.888245e+00 2.891187e+00 2.888737e+00 2.888539e+00 2.889499e+00 2.888621e+00 2.888568e+00 2.889566e+00 2.888283e+00 2.888415e+00 2.888274e+00 2.891491e+00 2.889437e+00 2.887920e+00 2.889682e+00 2.888396e+00 2.889968e+00 2.888423e+00 2.888389e+00 2.888013e+00 2.889171e+00 2.888491e+00 2.888288e+00 2.888071e+00 2.888274e+00 2.887843e+00 2.889062e+00 2.888519e+00 2.889144e+00 2.888615e+00 
2 35 2.796352e+00 0 0 2.797186e+00 2.796053e+00 2.795869e+00 2.795533e+00 2.795861e+00 2.795443e+00 2.795993e+00 2.795034e+00 2.796092e+00 2.795941e+00 2.795328e+00 2.796208e+00 2.797178e+00 2.796147e+00 2.794783e+00 2.794796e+00 2.796737e+00 2.797759e+00 2.795262e+00 2.796318e+00 2.795401e+00 2.796536e+00 2.795701e+00 2.796098e+00 2.796644e+00 2.796679e+00 2.798226e+00 2.796391e+00 2.796448e+00 2.795105e+00 2.795305e+00 2.795992e+00 2.795608e+00 2.795083e+00 2.795544e+00 2.795891e+00 2.795133e+00 2.795607e+00 2.795420e+00 2.795396e+00 2.794914e+00 2.795346e+00 2.795076e+00 2.795502e+00 2.794242e+00 2.796823e+00 2.796798e+00 2.794866e+00 2.795067e+00 2.796693e+00 2.795634e+00 2.795083e+00 2.795633e+00 2.795807e+00 2.795127e+00 2.796122e+00 2.795202e+00 2.796145e+00 2.797195e+00 2.795875e+00 2.794532e+00 2.796541e+00 2.795999e+00 2.795938e+00 2.795872e+00 2.795589e+00 2.794762e+00 2.795050e+00 2.795128e+00 2.795555e+00 2.795344e+00 2.800228e+00 2.796026e+00 2.795427e+00 2.796860e+00 2.795562e+00 2.795764e+00 2.796710e+00 2.795570e+00 2.795457e+00 2.794963e+00 2.799336e+00 2.796521e+00 2.794910e+00 2.796237e+00 2.795402e+00 2.797399e+00 2.795185e+00 2.795315e+00 2.794937e+00 2.796094e+00 2.795424e+00 2.795570e+00 2.795209e+00 2.794947e+00 2.794853e+00 2.798093e+00 2.795410e+00 2.796643e+00 2.795862e+00 
3 52 2.720262e+00 0 0 2.720843e+00 2.719486e+00 2.719213e+00 2.719021e+00 2.719443e+00 2.718659e+00 2.719549e+00 2.718659e+00 2.719230e+00 2.720048e+00 2.721896e+00 2.719533e+00 2.721211e+00 2.719698e+00 2.718733e+00 2.718326e+00 2.719836e+00 2.721308e+00 2.718561e+00 2.719509e+00 2.718764e+00 2.720620e+00 2.718924e+00 2.719539e+00 2.719742e+00 2.720292e+00 2.721952e+00 2.721128e+00 2.720338e+00 2.718705e+00 2.718416e+00 2.719834e+00 2.719650e+00 2.718690e+00 2.718563e+00 2.720097e+00 2.718428e+00 2.719431e+00 2.719182e+00 2.718788e+00 2.718635e+00 2.718687e+00 2.718548e+00 2.720427e+00 2.718255e+00 2.720461e+00 2.719677e+00 2.717798e+00 2.719780e+00 2.720955e+00 2.718828e+00 2.718521e+00 2.719194e+00 2.719291e+00 2.719647e+00 2.720446e+00 2.718825e+00 2.719074e+00 2.720614e+00 2.719161e+00 2.718235e+00 2.719776e+00 2.719407e+00 2.719353e+00 2.719896e+00 2.718546e+00 2.718220e+00 2.718207e+00 2.718641e+00 2.718745e+00 2.718721e+00 2.724430e+00 2.719511e+00 2.719096e+00 2.720139e+00 2.719169e+00 2.719030e+00 2.719904e+00 2.719488e+00 2.719442e+00 2.718546e+00 2.723597e+00 2.721458e+00 2.718094e+00 2.719202e+00 2.720218e+00 2.721642e+00 2.719204e+00 2.719217e+00 2.718658e+00 2.719963e+00 2.719250e+00 2.719350e+00 2.718304e+00 2.718383e+00 2.718278e+00 2.721617e+00 2.718950e+00 2.719690e+00 2.720378e+00 
4 69 2.657616e+00 0 0 2.657550e+00 2.656331e+00 2.657381e+00 2.655963e+00 2.657782e+00 2.655730e+00 2.656809e+00 2.655405e+00 2.656365e+00 2.656888e+00 2.660176e+00 2.657368e+00 2.658519e+00 2.656811e+00 2.656018e+00 2.658204e+00 2.656405e+00 2.657968e+00 2.655164e+00 2.656896e+00 2.655652e+00 2.657437e+00 2.655686e+00 2.659432e+00 2.656531e+00 2.657000e+00 2.658532e+00 2.658471e+00 2.659118e+00 2.655470e+00 2.655486e+00 2.657132e+00 2.656505e+00 2.655230e+00 2.655819e+00 2.657216e+00 2.655918e+00 2.656451e+00 2.656806e+00 2.655506e+00 2.655912e+00 2.655274e+00 2.655769e+00 2.657064e+00 2.654977e+00 2.657126e+00 2.657454e+00 2.654418e+00 2.657018e+00 2.657578e+00 2.657027e+00 2.655919e+00 2.656282e+00 2.656762e+00 2.657210e+00 2.657086e+00 2.656664e+00 2.656526e+00 2.657956e+00 2.656674e+00 2.656099e+00 2.657121e+00 2.657284e+00 2.657149e+00 2.656717e+00 2.655762e+00 2.655992e+00 2.654851e+00 2.655538e+00 2.655788e+00 2.655982e+00 2.661244e+00 2.656082e+00 2.657353e+00 2.657275e+00 2.655833e+00 2.656600e+00 2.656926e+00 2.657159e+00 2.657133e+00 2.655454e+00 2.660679e+00 2.658195e+00 2.656891e+00 2.658127e+00 2.657172e+00 2.658498e+00 2.657292e+00 2.656911e+00 2.655516e+00 2.656651e+00 2.656098e+00 2.656557e+00 2.655695e+00 2.655094e+00 2.656261e+00 2.658998e+00 2.655510e+00 2.656236e+00 2.656850e+00 
5 86 2.596759e+00 0 0 2.596887e+00 2.595459e+00 2.595955e+00 2.594945e+00 2.596608e+00 2.594754e+00 2.595372e+00 2.594245e+00 2.594750e+00 2.595828e+00 2.599748e+00 2.596047e+00 2.597340e+00 2.595051e+00 2.594911e+00 2.597844e+00 2.594991e+00 2.597047e+00 2.594321e+00 2.595992e+00 2.594322e+00 2.596541e+00 2.594338e+00 2.598748e+00 2.595345e+00 2.595489e+00 2.597177e+00 2.597248e+00 2.597782e+00 2.594324e+00 2.594127e+00 2.595476e+00 2.595737e+00 2.593879e+00 2.594314e+00 2.595659e+00 2.594510e+00 2.594822e+00 2.595316e+00 2.594188e+00 2.594506e+00 2.594030e+00 2.594383e+00 2.595791e+00 2.593602e+00 2.595897e+00 2.596923e+00 2.592959e+00 2.596276e+00 2.595931e+00 2.595574e+00 2.595028e+00 2.594926e+00 2.596100e+00 2.595956e+00 2.595388e+00 2.595520e+00 2.596457e+00 2.597124e+00 2.596601e+00 2.595023e+00 2.596527e+00 2.595814e+00 2.596092e+00 2.595181e+00 2.594340e+00 2.594956e+00 2.593566e+00 2.594544e+00 2.596239e+00 2.594609e+00 2.600249e+00 2.594731e+00 2.596113e+00 2.596504e+00 2.594386e+00 2.596125e+00 2.595829e+00 2.595723e+00 2.596651e+00 2.593949e+00 2.599479e+00 2.596930e+00 2.595268e+00 2.596829e+00 2.595625e+00 2.597060e+00 2.596298e+00 2.595676e+00 2.594411e+00 2.595658e+00 2.595505e+00 2.595413e+00 2.594346e+00 2.594106e+00 2.595338e+00 2.597450e+00 2.594086e+00 2.595230e+00 2.595462e+00 
6 103 2.544076e+00 0 0 2.544046e+00 2.542171e+00 2.542464e+00 2.541805e+00 2.543406e+00 2.541400e+00 2.542414e+00 2.541124e+00 2.541571e+00 2.543393e+00 2.546421e+00 2.542604e+00 2.544481e+00 2.541779e+00 2.541682e+00 2.544869e+00 2.541604e+00 2.544165e+00 2.541813e+00 2.543425e+00 2.541820e+00 2.543407e+00 2.541670e+00 2.546897e+00 2.542193e+00 2.542669e+00 2.543910e+00 2.544325e+00 2.545580e+00 2.543364e+00 2.540940e+00 2.541987e+00 2.542595e+00 2.542387e+00 2.541100e+00 2.542492e+00 2.541387e+00 2.541864e+00 2.542260e+00 2.542759e+00 2.541062e+00 2.541247e+00 2.541882e+00 2.542159e+00 2.540391e+00 2.542979e+00 2.543847e+00 2.540963e+00 2.544768e+00 2.542387e+00 2.542589e+00 2.541521e+00 2.541598e+00 2.543432e+00 2.543406e+00 2.541953e+00 2.541978e+00 2.543104e+00 2.544634e+00 2.544601e+00 2.542366e+00 2.543167e+00 2.542452e+00 2.543837e+00 2.542026e+00 2.541200e+00 2.542148e+00 2.540918e+00 2.542029e+00 2.544347e+00 2.541776e+00 2.548743e+00 2.541436e+00 2.543575e+00 2.543266e+00 2.541715e+00 2.542758e+00 2.543557e+00 2.543428e+00 2.543428e+00 2.540803e+00 2.546475e+00 2.544373e+00 2.542940e+00 2.544056e+00 2.543021e+00 2.543852e+00 2.543452e+00 2.542418e+00 2.540966e+00 2.542989e+00 2.542193e+00 2.542800e+00 2.541636e+00 2.540747e+00 2.542399e+00 2.546536e+00 2.541158e+00 2.543207e+00 2.542127e+00 
7 120 2.499531e+00 0 0 2.499156e+00 2.496880e+00 2.497277e+00 2.496375e+00 2.498563e+00 2.496527e+00 2.498155e+00 2.496411e+00 2.496530e+00 2.498267e+00 2.501787e+00 2.497324e+00 2.499493e+00 2.496488e+00 2.496977e+00 2.500466e+00 2.496415e+00 2.499613e+00 2.496915e+00 2.498623e+00 2.496567e+00 2.499070e+00 2.497112e+00 2.502334e+00 2.497387e+00 2.498101e+00 2.499143e+00 2.499147e+00 2.500665e+00 2.498417e+00 2.495695e+00 2.497050e+00 2.497524e+00 2.498505e+00 2.496289e+00 2.497165e+00 2.496362e+00 2.496867e+00 2.498060e+00 2.498408e+00 2.496327e+00 2.497553e+00 2.496523e+00 2.497668e+00 2.495784e+00 2.497777e+00 2.498657e+00 2.496032e+00 2.500578e+00 2.497878e+00 2.498243e+00 2.497412e+00 2.496989e+00 2.499015e+00 2.499370e+00 2.497101e+00 2.496707e+00 2.498112e+00 2.500297e+00 2.499951e+00 2.497423e+00 2.498336e+00 2.497954e+00 2.498521e+00 2.497076e+00 2.496344e+00 2.496974e+00 2.495809e+00 2.497001e+00 2.499089e+00 2.496590e+00 2.504416e+00 2.496594e+00 2.498992e+00 2.497857e+00 2.496522e+00 2.498175e+00 2.498847e+00 2.498417e+00 2.499350e+00 2.496055e+00 2.501941e+00 2.499456e+00 2.499921e+00 2.498758e+00 2.497739e+00 2.498965e+00 2.498894e+00 2.497090e+00 2.496333e+00 2.498677e+00 2.497162e+00 2.498060e+00 2.496538e+00 2.495790e+00 2.497926e+00 2.503838e+00 2.495999e+00 2.498809e+00 2.497633e+00 
8 137 2.458461e+00 0 0 2.458112e+00 2.455620e+00 2.455756e+00 2.454513e+00 2.457502e+00 2.455305e+00 2.456796e+00 2.454931e+00 2.455053e+00 2.457100e+00 2.460029e+00 2.455494e+00 2.457803e+00 2.456215e+00 2.455222e+00 2.459692e+00 2.454850e+00 2.458931e+00 2.455108e+00 2.457363e+00 2.455613e+00 2.457786e+00 2.456325e+00 2.461283e+00 2.455941e+00 2.456800e+00 2.457467e+00 2.457511e+00 2.459334e+00 2.456892e+00 2.454240e+00 2.455414e+00 2.456800e+00 2.457134e+00 2.455262e+00 2.455422e+00 2.455154e+00 2.455393e+00 2.457474e+00 2.458172e+00 2.455690e+00 2.455904e+00 2.454710e+00 2.455786e+00 2.455395e+00 2.456075e+00 2.457076e+00 2.455402e+00 2.459209e+00 2.456254e+00 2.457712e+00 2.455918e+00 2.455726e+00 2.457222e+00 2.458037e+00 2.455839e+00 2.455203e+00 2.456533e+00 2.458499e+00 2.459250e+00 2.456317e+00 2.456679e+00 2.457414e+00 2.456771e+00 2.457265e+00 2.454440e+00 2.456032e+00 2.454942e+00 2.455355e+00 2.457445e+00 2.454927e+00 2.462717e+00 2.454832e+00 2.457451e+00 2.456489e+00 2.454924e+00 2.457598e+00 2.457066e+00 2.456852e+00 2.457556e+00 2.455555e+00 2.460627e+00 2.457894e+00 2.458593e+00 2.457006e+00 2.456565e+00 2.457694e+00 2.458250e+00 2.456029e+00 2.454769e+00 2.459622e+00 2.455994e+00 2.456235e+00 2.456021e+00 2.454011e+00 2.456985e+00 2.463318e+00 2.454668e+00 2.457864e+00 2.456013e+00 
9 154 2.420565e+00 0 0 2.419836e+00 2.417280e+00 2.417832e+00 2.417160e+00 2.418808e+00 2.417531e+00 2.418120e+00 2.416493e+00 2.417113e+00 2.418822e+00 2.422228e+00 2.417688e+00 2.420188e+00 2.418414e+00 2.416578e+00 2.421622e+00 2.416640e+00 2.421138e+00 2.416488e+00 2.419941e+00 2.417530e+00 2.420130e+00 2.418037e+00 2.423221e+00 2.417299e+00 2.419125e+00 2.419027e+00 2.419494e+00 2.421265e+00 2.418243e+00 2.416310e+00 2.417186e+00 2.418808e+00 2.419237e+00 2.416971e+00 2.416915e+00 2.417178e+00 2.417256e+00 2.419618e+00 2.419788e+00 2.417707e+00 2.417841e+00 2.416850e+00 2.417618e+00 2.417145e+00 2.418531e+00 2.419461e+00 2.416758e+00 2.422387e+00 2.417775e+00 2.419900e+00 2.417548e+00 2.417387e+00 2.419120e+00 2.419503e+00 2.418088e+00 2.416755e+00 2.418409e+00 2.421369e+00 2.421167e+00 2.417779e+00 2.418340e+00 2.419750e+00 2.418811e+00 2.419554e+00 2.416003e+00 2.417871e+00 2.416521e+00 2.416872e+00 2.419517e+00 2.416451e+00 2.424785e+00 2.416530e+00 2.419910e+00 2.418139e+00 2.418092e+00 2.419548e+00 2.418518e+00 2.419356e+00 2.419401e+00 2.416842e+00 2.422949e+00 2.420256e+00 2.420277e+00 2.419360e+00 2.418077e+00 2.419970e+00 2.420109e+00 2.418073e+00 2.416605e+00 2.421262e+00 2.417824e+00 2.418270e+00 2.417780e+00 2.415690e+00 2.418654e+00 2.425010e+00 2.416592e+00 2.420504e+00 2.417307e+00 
10 171 2.375611e+00 0 0 2.374697e+00 2.371795e+00 2.372266e+00 2.371580e+00 2.373014e+00 2.371913e+00 2.373835e+00 2.371585e+00 2.372322e+00 2.373684e+00 2.377086e+00 2.372907e+00 2.374928e+00 2.373196e+00 2.371356e+00 2.376448e+00 2.371493e+00 2.376006e+00 2.370957e+00 2.374670e+00 2.372259e+00 2.375117e+00 2.372292e+00 2.377972e+00 2.372083e+00 2.374450e+00 2.373373e+00 2.374719e+00 2.375884e+00 2.373184e+00 2.371778e+00 2.371920e+00 2.373516e+00 2.374035e+00 2.371465e+00 2.371711e+00 2.372766e+00 2.372249e+00 2.374661e+00 2.375070e+00 2.372342e+00 2.372632e+00 2.371799e+00 2.372526e+00 2.371988e+00 2.373912e+00 2.374222e+00 2.371077e+00 2.377901e+00 2.372484e+00 2.374736e+00 2.372562e+00 2.371787e+00 2.373903e+00 2.374385e+00 2.373459e+00 2.371322e+00 2.372791e+00 2.376697e+00 2.375851e+00 2.373216e+00 2.372931e+00 2.374557e+00 2.373081e+00 2.375332e+00 2.370461e+00 2.372263e+00 2.372069e+00 2.372092e+00 2.373865e+00 2.370817e+00 2.379960e+00 2.371800e+00 2.374327e+00 2.372672e+00 2.373140e+00 2.373927e+00 2.372794e+00 2.373825e+00 2.373868e+00 2.372693e+00 2.378308e+00 2.374906e+00 2.376195e+00 2.373997e+00 2.373751e+00 2.375055e+00 2.374678e+00 2.373503e+00 2.371500e+00 2.375873e+00 2.373897e+00 2.373124e+00 2.372228e+00 2.370279e+00 2.373533e+00 2.379452e+00 2.370995e+00 2.376474e+00 2.371877e+00 
