%  columns="iteration, evaluation, sigma, max axis length, min axis length, all principal axes lengths (sorted square roots of eigenvalues of C)" (startseed=213707, 2026/04/11 19:25:52.08)
1 20 2.242346e+00 1.000000e+00 4.124769e-01 4.124769e-01 4.231072e-01 4.264013e-01 4.374153e-01 4.403391e-01 4.409904e-01 4.484206e-01 4.490278e-01 4.502271e-01 4.508005e-01 4.510275e-01 4.535373e-01 4.537622e-01 4.542867e-01 4.562077e-01 4.565687e-01 4.577270e-01 4.581731e-01 4.588470e-01 4.588800e-01 4.629957e-01 4.634974e-01 4.645772e-01 4.649030e-01 4.661242e-01 4.666011e-01 4.666751e-01 4.668103e-01 4.682352e-01 4.687181e-01 4.687199e-01 4.694486e-01 4.701748e-01 4.705257e-01 4.706270e-01 4.724053e-01 4.725727e-01 4.734693e-01 4.782440e-01 4.803719e-01 4.835146e-01 4.838481e-01 4.839575e-01 4.857820e-01 4.859779e-01 4.874388e-01 4.878077e-01 4.905825e-01 4.918271e-01 4.925685e-01 4.937080e-01 4.950440e-01 4.989513e-01 4.995509e-01 5.012847e-01 5.110274e-01 5.120495e-01 5.138059e-01 5.235355e-01 5.236120e-01 5.244440e-01 5.265855e-01 5.314776e-01 5.422732e-01 5.454302e-01 5.500554e-01 5.518639e-01 5.526236e-01 5.579949e-01 5.643822e-01 5.656811e-01 5.691146e-01 5.693648e-01 5.695108e-01 5.710843e-01 5.756347e-01 5.806027e-01 5.839202e-01 5.841439e-01 5.842077e-01 5.860685e-01 5.894789e-01 5.913422e-01 5.918431e-01 5.923440e-01 5.928450e-01 5.928497e-01 5.933458e-01 5.938466e-01 5.941601e-01 5.950369e-01 5.969838e-01 5.978585e-01 5.987381e-01 5.995492e-01 6.012379e-01 6.095685e-01 6.111869e-01 6.144400e-01 6.177027e-01 6.198153e-01 6.200161e-01 6.243026e-01 6.295632e-01 6.308045e-01 6.373827e-01 6.400915e-01 6.465690e-01 6.480200e-01 6.602120e-01 6.603915e-01 6.771232e-01 6.847806e-01 6.869988e-01 6.874311e-01 6.938349e-01 7.125629e-01 7.193651e-01 7.349942e-01 7.351237e-01 7.351237e-01 7.352532e-01 7.360037e-01 7.382202e-01 7.403241e-01 7.421486e-01 7.428574e-01 7.447668e-01 7.460770e-01 7.491826e-01 7.500054e-01 7.536116e-01 7.539338e-01 7.578622e-01 7.580406e-01 7.617906e-01 7.624706e-01 7.657531e-01 7.696645e-01 7.730528e-01 7.737054e-01 7.743527e-01 7.782811e-01 7.820135e-01 7.822093e-01 7.861378e-01 7.892478e-01 7.900667e-01 7.939940e-01 1.000000e+00 
2 39 2.178483e+00 1.000024e+00 4.124397e-01 4.124397e-01 4.230528e-01 4.263204e-01 4.373557e-01 4.404281e-01 4.409228e-01 4.483577e-01 4.490601e-01 4.502050e-01 4.506932e-01 4.509266e-01 4.534694e-01 4.537445e-01 4.541826e-01 4.561233e-01 4.565555e-01 4.577277e-01 4.581668e-01 4.587405e-01 4.587737e-01 4.628411e-01 4.634017e-01 4.644652e-01 4.648274e-01 4.661566e-01 4.664692e-01 4.665814e-01 4.667135e-01 4.682743e-01 4.686027e-01 4.687013e-01 4.694212e-01 4.701300e-01 4.705232e-01 4.707190e-01 4.722768e-01 4.724947e-01 4.734065e-01 4.781050e-01 4.802913e-01 4.834251e-01 4.837554e-01 4.838870e-01 4.857241e-01 4.859292e-01 4.873754e-01 4.877071e-01 4.905716e-01 4.916980e-01 4.925296e-01 4.937225e-01 4.949920e-01 4.988795e-01 4.994147e-01 5.012266e-01 5.110313e-01 5.119493e-01 5.137848e-01 5.234286e-01 5.235387e-01 5.243092e-01 5.265277e-01 5.314104e-01 5.422199e-01 5.453800e-01 5.499803e-01 5.518724e-01 5.525212e-01 5.578942e-01 5.642332e-01 5.655529e-01 5.690020e-01 5.692114e-01 5.694691e-01 5.709748e-01 5.756084e-01 5.804178e-01 5.838874e-01 5.840828e-01 5.841806e-01 5.860297e-01 5.894552e-01 5.911667e-01 5.917424e-01 5.922739e-01 5.926895e-01 5.930520e-01 5.931618e-01 5.936971e-01 5.941160e-01 5.950512e-01 5.968805e-01 5.977726e-01 5.986315e-01 5.994719e-01 6.011831e-01 6.095104e-01 6.112383e-01 6.143318e-01 6.177608e-01 6.197239e-01 6.199982e-01 6.241516e-01 6.294354e-01 6.306835e-01 6.373987e-01 6.399587e-01 6.465302e-01 6.479441e-01 6.601363e-01 6.604124e-01 6.769619e-01 6.847318e-01 6.868549e-01 6.872924e-01 6.937114e-01 7.124478e-01 7.192519e-01 7.348293e-01 7.349482e-01 7.350206e-01 7.352806e-01 7.358529e-01 7.383746e-01 7.402253e-01 7.421229e-01 7.427636e-01 7.446706e-01 7.459660e-01 7.490283e-01 7.498664e-01 7.535422e-01 7.537734e-01 7.577238e-01 7.578352e-01 7.616555e-01 7.623793e-01 7.655680e-01 7.694668e-01 7.728708e-01 7.736366e-01 7.741904e-01 7.781692e-01 7.819018e-01 7.821304e-01 7.861136e-01 7.893281e-01 7.902045e-01 7.937747e-01 1.000024e+00 
3 58 2.127372e+00 1.000024e+00 4.124397e-01 4.124397e-01 4.230528e-01 4.263204e-01 4.373557e-01 4.404281e-01 4.409228e-01 4.483577e-01 4.490601e-01 4.502050e-01 4.506932e-01 4.509266e-01 4.534694e-01 4.537445e-01 4.541826e-01 4.561233e-01 4.565555e-01 4.577277e-01 4.581668e-01 4.587405e-01 4.587737e-01 4.628411e-01 4.634017e-01 4.644652e-01 4.648274e-01 4.661566e-01 4.664692e-01 4.665814e-01 4.667135e-01 4.682743e-01 4.686027e-01 4.687013e-01 4.694212e-01 4.701300e-01 4.705232e-01 4.707190e-01 4.722768e-01 4.724947e-01 4.734065e-01 4.781050e-01 4.802913e-01 4.834251e-01 4.837554e-01 4.838870e-01 4.857241e-01 4.859292e-01 4.873754e-01 4.877071e-01 4.905716e-01 4.916980e-01 4.925296e-01 4.937225e-01 4.949920e-01 4.988795e-01 4.994147e-01 5.012266e-01 5.110313e-01 5.119493e-01 5.137848e-01 5.234286e-01 5.235387e-01 5.243092e-01 5.265277e-01 5.314104e-01 5.422199e-01 5.453800e-01 5.499803e-01 5.518724e-01 5.525212e-01 5.578942e-01 5.642332e-01 5.655529e-01 5.690020e-01 5.692114e-01 5.694691e-01 5.709748e-01 5.756084e-01 5.804178e-01 5.838874e-01 5.840828e-01 5.841806e-01 5.860297e-01 5.894552e-01 5.911667e-01 5.917424e-01 5.922739e-01 5.926895e-01 5.930520e-01 5.931618e-01 5.936971e-01 5.941160e-01 5.950512e-01 5.968805e-01 5.977726e-01 5.986315e-01 5.994719e-01 6.011831e-01 6.095104e-01 6.112383e-01 6.143318e-01 6.177608e-01 6.197239e-01 6.199982e-01 6.241516e-01 6.294354e-01 6.306835e-01 6.373987e-01 6.399587e-01 6.465302e-01 6.479441e-01 6.601363e-01 6.604124e-01 6.769619e-01 6.847318e-01 6.868549e-01 6.872924e-01 6.937114e-01 7.124478e-01 7.192519e-01 7.348293e-01 7.349482e-01 7.350206e-01 7.352806e-01 7.358529e-01 7.383746e-01 7.402253e-01 7.421229e-01 7.427636e-01 7.446706e-01 7.459660e-01 7.490283e-01 7.498664e-01 7.535422e-01 7.537734e-01 7.577238e-01 7.578352e-01 7.616555e-01 7.623793e-01 7.655680e-01 7.694668e-01 7.728708e-01 7.736366e-01 7.741904e-01 7.781692e-01 7.819018e-01 7.821304e-01 7.861136e-01 7.893281e-01 7.902045e-01 7.937747e-01 1.000024e+00 
4 77 2.083926e+00 9.997910e-01 4.124263e-01 4.124263e-01 4.229593e-01 4.262847e-01 4.372699e-01 4.404079e-01 4.408688e-01 4.483939e-01 4.489799e-01 4.501311e-01 4.505847e-01 4.508092e-01 4.534213e-01 4.536473e-01 4.542087e-01 4.560082e-01 4.564184e-01 4.576529e-01 4.580784e-01 4.586404e-01 4.586947e-01 4.627246e-01 4.633200e-01 4.644017e-01 4.650093e-01 4.661050e-01 4.663689e-01 4.665256e-01 4.667377e-01 4.682420e-01 4.685324e-01 4.686619e-01 4.693284e-01 4.700258e-01 4.704612e-01 4.706450e-01 4.723825e-01 4.724390e-01 4.735114e-01 4.780428e-01 4.803717e-01 4.834253e-01 4.837288e-01 4.838220e-01 4.857585e-01 4.861689e-01 4.873241e-01 4.875658e-01 4.905876e-01 4.916888e-01 4.926828e-01 4.936163e-01 4.950159e-01 4.989870e-01 4.993221e-01 5.012337e-01 5.109853e-01 5.119050e-01 5.138178e-01 5.233595e-01 5.235757e-01 5.242232e-01 5.266303e-01 5.313965e-01 5.421429e-01 5.453428e-01 5.498455e-01 5.518555e-01 5.524527e-01 5.577872e-01 5.641768e-01 5.655233e-01 5.689000e-01 5.691787e-01 5.694186e-01 5.708099e-01 5.754810e-01 5.804060e-01 5.838225e-01 5.839740e-01 5.841408e-01 5.859647e-01 5.894924e-01 5.911001e-01 5.918502e-01 5.921937e-01 5.925063e-01 5.930578e-01 5.930959e-01 5.935198e-01 5.939409e-01 5.950359e-01 5.967149e-01 5.977201e-01 5.986027e-01 5.994440e-01 6.010492e-01 6.095199e-01 6.111237e-01 6.144007e-01 6.177326e-01 6.196245e-01 6.200013e-01 6.240405e-01 6.293551e-01 6.306845e-01 6.374000e-01 6.398766e-01 6.465829e-01 6.481403e-01 6.600975e-01 6.603087e-01 6.768009e-01 6.846379e-01 6.868052e-01 6.872717e-01 6.936370e-01 7.122701e-01 7.190870e-01 7.346875e-01 7.348013e-01 7.349616e-01 7.352797e-01 7.358268e-01 7.382437e-01 7.401192e-01 7.420203e-01 7.426339e-01 7.445969e-01 7.459131e-01 7.488519e-01 7.497054e-01 7.533678e-01 7.536605e-01 7.575116e-01 7.577394e-01 7.615195e-01 7.623843e-01 7.654496e-01 7.692915e-01 7.729528e-01 7.734564e-01 7.740706e-01 7.780667e-01 7.818964e-01 7.820979e-01 7.859962e-01 7.894905e-01 7.899780e-01 7.935616e-01 9.997910e-01 
5 96 2.046327e+00 9.998396e-01 4.124082e-01 4.124082e-01 4.229927e-01 4.262427e-01 4.372891e-01 4.403974e-01 4.408011e-01 4.483655e-01 4.489159e-01 4.500895e-01 4.505723e-01 4.508332e-01 4.533727e-01 4.535801e-01 4.542051e-01 4.559554e-01 4.563853e-01 4.575944e-01 4.580455e-01 4.585687e-01 4.586352e-01 4.626531e-01 4.633240e-01 4.643426e-01 4.649587e-01 4.660420e-01 4.663226e-01 4.664421e-01 4.667047e-01 4.682305e-01 4.684734e-01 4.685917e-01 4.695088e-01 4.699618e-01 4.704296e-01 4.706146e-01 4.723697e-01 4.724255e-01 4.735433e-01 4.779920e-01 4.804250e-01 4.833686e-01 4.837034e-01 4.838105e-01 4.857414e-01 4.861531e-01 4.872577e-01 4.874788e-01 4.906197e-01 4.916539e-01 4.926741e-01 4.935904e-01 4.950884e-01 4.989399e-01 4.992900e-01 5.011682e-01 5.109852e-01 5.118357e-01 5.137626e-01 5.233064e-01 5.235264e-01 5.241979e-01 5.266009e-01 5.313425e-01 5.423063e-01 5.453409e-01 5.498235e-01 5.518086e-01 5.524454e-01 5.577625e-01 5.641096e-01 5.655250e-01 5.688950e-01 5.691175e-01 5.695494e-01 5.707625e-01 5.754126e-01 5.803261e-01 5.837531e-01 5.838951e-01 5.841690e-01 5.859832e-01 5.895307e-01 5.910287e-01 5.917762e-01 5.921960e-01 5.925195e-01 5.930013e-01 5.932171e-01 5.934449e-01 5.940715e-01 5.949680e-01 5.966560e-01 5.976579e-01 5.986738e-01 5.993999e-01 6.010959e-01 6.095659e-01 6.110378e-01 6.143379e-01 6.176979e-01 6.195690e-01 6.200332e-01 6.240718e-01 6.292688e-01 6.307185e-01 6.374550e-01 6.398134e-01 6.465027e-01 6.481018e-01 6.600041e-01 6.602395e-01 6.768242e-01 6.846959e-01 6.868359e-01 6.872759e-01 6.936375e-01 7.122567e-01 7.190377e-01 7.347106e-01 7.348073e-01 7.350481e-01 7.351919e-01 7.357625e-01 7.381832e-01 7.400718e-01 7.419204e-01 7.426332e-01 7.444717e-01 7.458499e-01 7.488183e-01 7.498511e-01 7.532769e-01 7.537951e-01 7.574359e-01 7.577067e-01 7.614887e-01 7.623647e-01 7.654683e-01 7.692010e-01 7.728500e-01 7.733821e-01 7.741346e-01 7.780630e-01 7.818339e-01 7.821956e-01 7.859807e-01 7.895604e-01 7.899469e-01 7.934489e-01 9.998396e-01 
6 115 2.010744e+00 9.998396e-01 4.124082e-01 4.124082e-01 4.229927e-01 4.262427e-01 4.372891e-01 4.403974e-01 4.408011e-01 4.483655e-01 4.489159e-01 4.500895e-01 4.505723e-01 4.508332e-01 4.533727e-01 4.535801e-01 4.542051e-01 4.559554e-01 4.563853e-01 4.575944e-01 4.580455e-01 4.585687e-01 4.586352e-01 4.626531e-01 4.633240e-01 4.643426e-01 4.649587e-01 4.660420e-01 4.663226e-01 4.664421e-01 4.667047e-01 4.682305e-01 4.684734e-01 4.685917e-01 4.695088e-01 4.699618e-01 4.704296e-01 4.706146e-01 4.723697e-01 4.724255e-01 4.735433e-01 4.779920e-01 4.804250e-01 4.833686e-01 4.837034e-01 4.838105e-01 4.857414e-01 4.861531e-01 4.872577e-01 4.874788e-01 4.906197e-01 4.916539e-01 4.926741e-01 4.935904e-01 4.950884e-01 4.989399e-01 4.992900e-01 5.011682e-01 5.109852e-01 5.118357e-01 5.137626e-01 5.233064e-01 5.235264e-01 5.241979e-01 5.266009e-01 5.313425e-01 5.423063e-01 5.453409e-01 5.498235e-01 5.518086e-01 5.524454e-01 5.577625e-01 5.641096e-01 5.655250e-01 5.688950e-01 5.691175e-01 5.695494e-01 5.707625e-01 5.754126e-01 5.803261e-01 5.837531e-01 5.838951e-01 5.841690e-01 5.859832e-01 5.895307e-01 5.910287e-01 5.917762e-01 5.921960e-01 5.925195e-01 5.930013e-01 5.932171e-01 5.934449e-01 5.940715e-01 5.949680e-01 5.966560e-01 5.976579e-01 5.986738e-01 5.993999e-01 6.010959e-01 6.095659e-01 6.110378e-01 6.143379e-01 6.176979e-01 6.195690e-01 6.200332e-01 6.240718e-01 6.292688e-01 6.307185e-01 6.374550e-01 6.398134e-01 6.465027e-01 6.481018e-01 6.600041e-01 6.602395e-01 6.768242e-01 6.846959e-01 6.868359e-01 6.872759e-01 6.936375e-01 7.122567e-01 7.190377e-01 7.347106e-01 7.348073e-01 7.350481e-01 7.351919e-01 7.357625e-01 7.381832e-01 7.400718e-01 7.419204e-01 7.426332e-01 7.444717e-01 7.458499e-01 7.488183e-01 7.498511e-01 7.532769e-01 7.537951e-01 7.574359e-01 7.577067e-01 7.614887e-01 7.623647e-01 7.654683e-01 7.692010e-01 7.728500e-01 7.733821e-01 7.741346e-01 7.780630e-01 7.818339e-01 7.821956e-01 7.859807e-01 7.895604e-01 7.899469e-01 7.934489e-01 9.998396e-01 
7 134 1.979046e+00 9.995739e-01 4.123319e-01 4.123319e-01 4.229311e-01 4.263152e-01 4.372715e-01 4.403155e-01 4.408461e-01 4.482615e-01 4.489242e-01 4.501475e-01 4.505831e-01 4.508144e-01 4.533002e-01 4.534810e-01 4.541785e-01 4.558541e-01 4.563861e-01 4.575404e-01 4.579724e-01 4.586370e-01 4.587242e-01 4.625611e-01 4.632357e-01 4.644341e-01 4.648723e-01 4.660035e-01 4.663518e-01 4.664279e-01 4.666653e-01 4.681449e-01 4.683930e-01 4.685364e-01 4.696329e-01 4.698825e-01 4.703621e-01 4.705353e-01 4.723677e-01 4.724980e-01 4.734841e-01 4.779947e-01 4.804443e-01 4.832893e-01 4.836646e-01 4.837410e-01 4.855892e-01 4.862097e-01 4.871718e-01 4.875666e-01 4.906084e-01 4.915560e-01 4.926746e-01 4.935259e-01 4.951351e-01 4.989169e-01 4.992317e-01 5.012070e-01 5.111660e-01 5.119384e-01 5.137087e-01 5.232108e-01 5.235082e-01 5.242057e-01 5.266290e-01 5.313189e-01 5.424507e-01 5.453946e-01 5.496803e-01 5.517344e-01 5.523696e-01 5.577142e-01 5.642019e-01 5.654937e-01 5.687190e-01 5.691229e-01 5.695474e-01 5.708054e-01 5.753174e-01 5.801732e-01 5.837265e-01 5.838767e-01 5.840857e-01 5.858612e-01 5.895347e-01 5.908889e-01 5.918268e-01 5.921162e-01 5.925267e-01 5.928593e-01 5.933086e-01 5.933920e-01 5.939780e-01 5.948606e-01 5.966093e-01 5.977683e-01 5.986153e-01 5.993410e-01 6.011039e-01 6.096198e-01 6.110203e-01 6.141544e-01 6.177022e-01 6.194149e-01 6.201201e-01 6.239676e-01 6.292611e-01 6.305895e-01 6.373519e-01 6.397621e-01 6.464449e-01 6.480803e-01 6.599125e-01 6.601631e-01 6.767154e-01 6.847228e-01 6.870441e-01 6.876342e-01 6.936517e-01 7.122163e-01 7.188686e-01 7.345932e-01 7.346609e-01 7.349394e-01 7.351496e-01 7.357611e-01 7.382315e-01 7.401483e-01 7.417263e-01 7.424169e-01 7.442863e-01 7.458598e-01 7.487581e-01 7.497158e-01 7.531964e-01 7.539005e-01 7.573556e-01 7.576835e-01 7.614654e-01 7.624852e-01 7.654834e-01 7.692198e-01 7.729741e-01 7.732340e-01 7.740860e-01 7.778855e-01 7.816681e-01 7.821558e-01 7.857247e-01 7.896099e-01 7.900315e-01 7.934794e-01 9.995739e-01 
8 153 1.948430e+00 9.995664e-01 4.122869e-01 4.122869e-01 4.228634e-01 4.262945e-01 4.373014e-01 4.402556e-01 4.407943e-01 4.482276e-01 4.489501e-01 4.501070e-01 4.505693e-01 4.507948e-01 4.532343e-01 4.534659e-01 4.541577e-01 4.558538e-01 4.564184e-01 4.574891e-01 4.579004e-01 4.585982e-01 4.587142e-01 4.625846e-01 4.632050e-01 4.643910e-01 4.650185e-01 4.659479e-01 4.663370e-01 4.663630e-01 4.666759e-01 4.681465e-01 4.683575e-01 4.685019e-01 4.696022e-01 4.698086e-01 4.703690e-01 4.705036e-01 4.723483e-01 4.724184e-01 4.734445e-01 4.779416e-01 4.804219e-01 4.832689e-01 4.835936e-01 4.837164e-01 4.855711e-01 4.862151e-01 4.871446e-01 4.875116e-01 4.905970e-01 4.915080e-01 4.926544e-01 4.934917e-01 4.951292e-01 4.990327e-01 4.994176e-01 5.011857e-01 5.111775e-01 5.119223e-01 5.136349e-01 5.232282e-01 5.234729e-01 5.242109e-01 5.266446e-01 5.312435e-01 5.425027e-01 5.453758e-01 5.496132e-01 5.516319e-01 5.523197e-01 5.576361e-01 5.641717e-01 5.654212e-01 5.686341e-01 5.690762e-01 5.695402e-01 5.708391e-01 5.752862e-01 5.801519e-01 5.836643e-01 5.838813e-01 5.841461e-01 5.858309e-01 5.894582e-01 5.908476e-01 5.917518e-01 5.920239e-01 5.925571e-01 5.928685e-01 5.932358e-01 5.934233e-01 5.939593e-01 5.948619e-01 5.965472e-01 5.976813e-01 5.985872e-01 5.993018e-01 6.010643e-01 6.095534e-01 6.110141e-01 6.141075e-01 6.176561e-01 6.193926e-01 6.200427e-01 6.239890e-01 6.291903e-01 6.305618e-01 6.373513e-01 6.396868e-01 6.464617e-01 6.480706e-01 6.599470e-01 6.601209e-01 6.766655e-01 6.847007e-01 6.869412e-01 6.875527e-01 6.936683e-01 7.121093e-01 7.190913e-01 7.345028e-01 7.345776e-01 7.348862e-01 7.351310e-01 7.356948e-01 7.381762e-01 7.400878e-01 7.416186e-01 7.423233e-01 7.442222e-01 7.458373e-01 7.487523e-01 7.496580e-01 7.531742e-01 7.538368e-01 7.573009e-01 7.576181e-01 7.613721e-01 7.625924e-01 7.654627e-01 7.691551e-01 7.730855e-01 7.731060e-01 7.742246e-01 7.778862e-01 7.817664e-01 7.821473e-01 7.856430e-01 7.896576e-01 7.900735e-01 7.934739e-01 9.995664e-01 
9 172 1.918428e+00 9.995664e-01 4.122869e-01 4.122869e-01 4.228634e-01 4.262945e-01 4.373014e-01 4.402556e-01 4.407943e-01 4.482276e-01 4.489501e-01 4.501070e-01 4.505693e-01 4.507948e-01 4.532343e-01 4.534659e-01 4.541577e-01 4.558538e-01 4.564184e-01 4.574891e-01 4.579004e-01 4.585982e-01 4.587142e-01 4.625846e-01 4.632050e-01 4.643910e-01 4.650185e-01 4.659479e-01 4.663370e-01 4.663630e-01 4.666759e-01 4.681465e-01 4.683575e-01 4.685019e-01 4.696022e-01 4.698086e-01 4.703690e-01 4.705036e-01 4.723483e-01 4.724184e-01 4.734445e-01 4.779416e-01 4.804219e-01 4.832689e-01 4.835936e-01 4.837164e-01 4.855711e-01 4.862151e-01 4.871446e-01 4.875116e-01 4.905970e-01 4.915080e-01 4.926544e-01 4.934917e-01 4.951292e-01 4.990327e-01 4.994176e-01 5.011857e-01 5.111775e-01 5.119223e-01 5.136349e-01 5.232282e-01 5.234729e-01 5.242109e-01 5.266446e-01 5.312435e-01 5.425027e-01 5.453758e-01 5.496132e-01 5.516319e-01 5.523197e-01 5.576361e-01 5.641717e-01 5.654212e-01 5.686341e-01 5.690762e-01 5.695402e-01 5.708391e-01 5.752862e-01 5.801519e-01 5.836643e-01 5.838813e-01 5.841461e-01 5.858309e-01 5.894582e-01 5.908476e-01 5.917518e-01 5.920239e-01 5.925571e-01 5.928685e-01 5.932358e-01 5.934233e-01 5.939593e-01 5.948619e-01 5.965472e-01 5.976813e-01 5.985872e-01 5.993018e-01 6.010643e-01 6.095534e-01 6.110141e-01 6.141075e-01 6.176561e-01 6.193926e-01 6.200427e-01 6.239890e-01 6.291903e-01 6.305618e-01 6.373513e-01 6.396868e-01 6.464617e-01 6.480706e-01 6.599470e-01 6.601209e-01 6.766655e-01 6.847007e-01 6.869412e-01 6.875527e-01 6.936683e-01 7.121093e-01 7.190913e-01 7.345028e-01 7.345776e-01 7.348862e-01 7.351310e-01 7.356948e-01 7.381762e-01 7.400878e-01 7.416186e-01 7.423233e-01 7.442222e-01 7.458373e-01 7.487523e-01 7.496580e-01 7.531742e-01 7.538368e-01 7.573009e-01 7.576181e-01 7.613721e-01 7.625924e-01 7.654627e-01 7.691551e-01 7.730855e-01 7.731060e-01 7.742246e-01 7.778862e-01 7.817664e-01 7.821473e-01 7.856430e-01 7.896576e-01 7.900735e-01 7.934739e-01 9.995664e-01 
10 191 1.888554e+00 9.995572e-01 4.122284e-01 4.122284e-01 4.227714e-01 4.262824e-01 4.373457e-01 4.401690e-01 4.406795e-01 4.482192e-01 4.490014e-01 4.501724e-01 4.505268e-01 4.506802e-01 4.532187e-01 4.533961e-01 4.541721e-01 4.557702e-01 4.563163e-01 4.574929e-01 4.579515e-01 4.585721e-01 4.586316e-01 4.625690e-01 4.630892e-01 4.643098e-01 4.649259e-01 4.658134e-01 4.662437e-01 4.662977e-01 4.666113e-01 4.681807e-01 4.682386e-01 4.684435e-01 4.695866e-01 4.698484e-01 4.702567e-01 4.704460e-01 4.722856e-01 4.723529e-01 4.734035e-01 4.779086e-01 4.803954e-01 4.833147e-01 4.836261e-01 4.836553e-01 4.855214e-01 4.863913e-01 4.870677e-01 4.875617e-01 4.905545e-01 4.915242e-01 4.926734e-01 4.935103e-01 4.950342e-01 4.989000e-01 4.993607e-01 5.011509e-01 5.111371e-01 5.118379e-01 5.135247e-01 5.231481e-01 5.234422e-01 5.241172e-01 5.265477e-01 5.311923e-01 5.423911e-01 5.455043e-01 5.495414e-01 5.516416e-01 5.523034e-01 5.575265e-01 5.641040e-01 5.653037e-01 5.685780e-01 5.692281e-01 5.695988e-01 5.708267e-01 5.752283e-01 5.800293e-01 5.836495e-01 5.838170e-01 5.840126e-01 5.858674e-01 5.892929e-01 5.908078e-01 5.917489e-01 5.919139e-01 5.924357e-01 5.928793e-01 5.931488e-01 5.935324e-01 5.938311e-01 5.950150e-01 5.965663e-01 5.977716e-01 5.985444e-01 5.992604e-01 6.010048e-01 6.094670e-01 6.112464e-01 6.140842e-01 6.176504e-01 6.194375e-01 6.199904e-01 6.241072e-01 6.291085e-01 6.305612e-01 6.372021e-01 6.397060e-01 6.463704e-01 6.479335e-01 6.597467e-01 6.599746e-01 6.769877e-01 6.844942e-01 6.867837e-01 6.873803e-01 6.936101e-01 7.120892e-01 7.191513e-01 7.344450e-01 7.347835e-01 7.349897e-01 7.352568e-01 7.356439e-01 7.381393e-01 7.400754e-01 7.416175e-01 7.422295e-01 7.441176e-01 7.457646e-01 7.488126e-01 7.495595e-01 7.529469e-01 7.536472e-01 7.572035e-01 7.575148e-01 7.613091e-01 7.625106e-01 7.652760e-01 7.690864e-01 7.729191e-01 7.729662e-01 7.742590e-01 7.778129e-01 7.816762e-01 7.819825e-01 7.856664e-01 7.895258e-01 7.899275e-01 7.933676e-01 9.995572e-01 
