%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=215650, 2026/04/11 20:36:59.51)
1 18 2.888937e+00 1.000000e+00  7.872437825374918248e+02  8.657483112619997883e+02  8.892487783364600773e+02  9.169061303014997293e+02
2 35 2.796352e+00 1.012926e+00  7.872437825374918248e+02  8.783952495369421740e+02  9.047664841925698056e+02  9.283153800420694779e+02
3 52 2.720262e+00 1.013622e+00  7.872437825374918248e+02  8.744254099137320964e+02  8.941708238163405440e+02  9.281667120626573251e+02
4 69 2.657616e+00 1.015669e+00  7.872437825374918248e+02  8.683784710331656242e+02  9.085670998509476703e+02  9.435585360822537950e+02
5 86 2.596759e+00 1.017384e+00  7.872437825374918248e+02  8.621560306822426583e+02  9.000303871438277383e+02  9.367181189857878962e+02
6 103 2.544076e+00 1.017384e+00  7.872437825374918248e+02  8.705891386059038268e+02  8.975840403105872838e+02  9.297897590579920006e+02
7 120 2.499531e+00 1.022428e+00  7.872437825374918248e+02  8.692258731938020446e+02  8.892486865957923783e+02  9.393835347606479900e+02
8 137 2.458461e+00 1.025628e+00  7.872437825374918248e+02  8.626466950383968424e+02  8.887275471322234353e+02  9.107682540628451306e+02
9 154 2.420565e+00 1.028441e+00  7.872437825374918248e+02  8.579001258632872577e+02  8.951102968623582683e+02  9.349450200583705737e+02
10 171 2.375611e+00 1.031248e+00  7.872437825374918248e+02  8.640978860646330304e+02  8.932031335467797817e+02  9.354976245180730530e+02
11 188 2.326954e+00 1.032893e+00  7.872437825374918248e+02  8.604280532917858864e+02  8.878015742479034316e+02  9.288089263583538013e+02
12 205 2.284690e+00 1.032893e+00  7.872437825374918248e+02  8.692818244464074269e+02  8.852914989478256302e+02  9.181784688773036578e+02
13 222 2.242455e+00 1.036360e+00  7.872437825374918248e+02  8.647786429529754741e+02  8.829072496674718877e+02  9.209631999532866757e+02
14 239 2.204836e+00 1.037697e+00  7.872437825374918248e+02  8.469637699410313871e+02  8.713613657478547339e+02  8.983576072803566603e+02
15 256 2.178760e+00 1.039555e+00  7.872437825374918248e+02  8.362461113172587375e+02  8.689412560674504675e+02  8.794161911074518230e+02
16 273 2.158840e+00 1.042583e+00  7.872437825374918248e+02  8.481413432154679413e+02  8.730891285989873722e+02  8.963454844647794744e+02
17 290 2.141365e+00 1.045626e+00  7.872437825374918248e+02  8.541942068554292291e+02  8.766556800877765454e+02  8.922483399623548621e+02
18 307 2.125883e+00 1.045626e+00  7.872437825374918248e+02  8.467638267600354993e+02  8.648030991891132544e+02  8.943615993113639888e+02
19 324 2.111368e+00 1.052924e+00  7.872437825374918248e+02  8.409709365403311949e+02  8.688247248130254548e+02  8.793370767401337389e+02
20 341 2.089013e+00 1.056357e+00  7.872437825374918248e+02  8.520801189453692359e+02  8.638737598224670364e+02  8.857432517480186789e+02
21 358 2.068132e+00 1.059948e+00  7.872437825374918248e+02  8.370977853324245643e+02  8.686109170766267198e+02  8.865743876932756393e+02
22 375 2.049869e+00 1.063876e+00  7.872437825374918248e+02  8.485589430913232718e+02  8.719632414064966497e+02  8.964972945250760858e+02
23 392 2.028901e+00 1.067308e+00  7.872437825374918248e+02  8.324281640455996012e+02  8.611019128012229658e+02  8.939358790529410044e+02
24 409 2.006939e+00 1.067308e+00  7.872437825374918248e+02  8.386661276788763644e+02  8.583219839872225521e+02  8.739021561485299117e+02
