%  columns="iteration, evaluation, fitness, void, void, xrecentbest" (startseed=213707, 2026/04/11 19:25:52.08)
1 20  9.092150859532978302e+02 0 0 2.487325e+00 -6.105137e-01 -9.645834e-01 -1.406712e+00 -1.310403e+00 1.148046e+00 6.376653e-01 2.869723e+00 1.154942e-01 8.286770e-02 -7.828332e-01 -1.066443e+00 1.523092e+00 -1.667067e-01 -1.557645e+00 -2.341155e-01 -1.628157e+00 2.450929e+00 1.557873e+00 8.843376e-01 -2.623940e+00 1.953835e+00 -4.404986e+00 -1.454624e+00 -1.639174e+00 1.478840e-01 -4.895198e-01 -7.883020e-01 -2.633329e+00 -7.172530e-01 1.137919e+00 2.832562e+00 1.275325e+00 7.114421e-01 -2.080092e-02 -3.114019e+00 -1.302595e+00 1.548724e+00 -4.318771e-01 1.870104e+00 1.595944e+00 -1.609852e+00 -1.220382e+00 -1.025416e+00 -2.050278e+00 -1.260511e-01 1.824555e-01 -1.356933e+00 4.911552e-01 1.142899e+00 2.361597e-01 3.041107e-01 1.180998e+00 -1.583267e+00 -2.470575e+00 -1.148661e+00 -7.444221e-01 1.065870e+00 7.019938e-01 1.629318e+00 4.761743e-01 3.699496e-01 -6.273074e-01 1.023647e+00 1.853132e-01 -1.102061e+00 -2.835082e-01 1.031809e+00 6.298576e-01 4.399937e-01 -9.584503e-01 7.626827e-01 -2.554832e-01 -1.049103e+00 2.025624e+00 -8.077478e-01 1.466873e+00 -7.107726e-01 7.956213e-02 7.153994e-01 -1.282323e+00 -1.390105e+00 1.579124e-01 -5.189100e-02 -1.936934e-01 -1.976297e+00 3.408951e-01 -9.173631e-01 1.390272e-01 -2.053875e-01 -2.294091e-01 -2.387046e-01 -2.195176e-01 -1.310456e+00 -8.858332e-01 -1.235933e+00 -3.979402e-01 2.869649e-01 -1.881905e-01 -9.309089e-01 2.723520e-01 -5.685915e-01 8.486099e-01 -8.717989e-01 5.678823e-01 -2.410093e-01 -1.372261e-01 1.644674e+00 1.081931e-01 -1.535850e+00 3.923516e-01 3.731027e-02 1.859346e-01 1.288906e+00 -3.290864e-02 1.792809e+00 -3.591607e-01 -1.274387e+00 -8.283915e-02 2.385374e-01 4.251325e-01 5.091458e-01 8.088331e-01 7.306556e-01 3.464218e-01 6.769347e-01 -2.203673e-01 -9.774187e-01 -1.192099e+00 -8.101947e-01 -3.383231e-01 -5.697048e-01 -1.441430e-01 9.811562e-01 5.568940e-01 -1.176361e+00 -3.535976e-02 -5.239624e-01 -2.219805e+00 1.631390e+00 -1.243838e-01 2.280336e-01 -6.307297e-01 2.133187e+00 -6.009717e-01 -3.955638e+00 -2.294056e+00 -1.230787e-01 -5.813577e-01 1.006477e+00 
2 39  9.127538150706844817e+02 0 0 2.389971e+00 -1.457995e+00 -1.370649e+00 -9.647767e-01 -3.726402e-01 7.096423e-01 -3.357521e-01 1.463126e+00 -1.333159e+00 -2.153038e+00 -3.517240e+00 8.019049e-01 -2.051230e+00 -1.761003e-01 1.069956e+00 -2.236155e+00 -7.188838e-01 1.102069e+00 2.224997e+00 1.789029e+00 -8.499609e-01 1.287737e+00 1.317132e+00 -1.797742e+00 -2.367336e-01 2.420427e-01 -3.207881e-01 -1.011208e-01 3.028931e-01 -1.211884e+00 1.881414e-01 -3.404679e-01 9.069162e-01 7.339411e-03 1.971179e-02 -8.961821e-01 2.696180e+00 -4.191577e-01 9.948382e-01 6.846278e-01 5.932197e-01 6.175545e-02 -1.819432e+00 5.358926e-01 -1.865766e+00 9.238267e-01 -4.854462e-01 -1.652397e+00 -1.837277e+00 -1.906905e+00 1.255565e+00 -9.529981e-01 8.827061e-01 3.412127e-01 3.562632e-01 1.868715e-01 -2.098769e+00 -1.792090e+00 -8.678985e-01 1.049249e+00 -2.080926e+00 9.304458e-01 2.694975e+00 5.166858e-01 -1.825894e+00 3.384394e-03 -6.185397e-02 8.802233e-01 1.240315e+00 -1.078923e+00 -8.089061e-01 -3.439617e-01 -8.133785e-01 5.792562e-01 9.060815e-02 1.540632e+00 1.462572e-01 -2.215522e+00 6.346544e-01 -9.782349e-01 1.277969e+00 8.765755e-01 -1.257580e+00 2.649406e-01 -9.183547e-02 -1.258844e+00 7.491076e-01 -7.420529e-01 6.957695e-01 1.296656e+00 6.690686e-01 1.657749e+00 7.658505e-01 -2.766725e+00 2.026224e+00 -8.918733e-01 -1.461651e+00 -1.199202e+00 1.147299e+00 6.515898e-01 6.059937e-01 7.888110e-01 -2.089985e-01 -1.141359e+00 1.617391e+00 1.598153e-01 2.185425e-02 3.778466e-01 -3.627732e-02 -1.671481e-01 -1.294621e-01 3.572975e-02 8.371066e-01 1.247924e+00 -4.760240e-01 -1.494002e-01 -3.525507e-01 -1.791318e+00 6.050353e-01 3.272188e-01 1.587318e+00 -2.123420e-01 -2.001274e+00 -1.425752e+00 8.697041e-01 1.154046e+00 3.321866e-01 -3.073233e-02 -3.146613e-02 4.841178e-01 5.775510e-01 -4.415836e-03 -8.671701e-01 6.023599e-01 1.547964e+00 1.847826e+00 -5.481468e-01 -1.251426e+00 -6.692352e-01 9.910931e-01 -1.111027e+00 -1.205770e+00 1.064433e+00 4.162521e+00 1.796882e-01 -2.422541e+00 -1.673745e+00 -3.594901e-01 2.189177e+00 -9.573574e-02 
3 58  9.281141575598130657e+02 0 0 9.278287e-01 -2.301162e+00 -1.267935e+00 -3.060018e+00 -8.322301e-01 -9.791272e-01 -2.640640e-01 -1.582626e+00 -3.123044e+00 -3.909062e-01 -2.458496e+00 -2.149785e+00 4.379861e-01 1.780277e+00 1.136834e-01 -1.131877e-02 2.303853e+00 2.585912e+00 -1.075394e+00 1.383134e+00 -1.147876e+00 3.500060e+00 -8.077316e-01 1.332540e+00 -2.557047e-01 1.021994e+00 -5.212592e-02 -3.150173e+00 -2.815507e+00 2.068273e+00 9.693966e-01 3.576426e+00 -1.693837e+00 5.983633e-02 1.217856e+00 1.199983e+00 -5.928495e-01 -3.879612e-01 2.321604e+00 -1.602636e+00 1.607702e+00 -6.682515e-01 -8.545562e-01 2.181122e+00 -2.287818e+00 -1.424328e+00 -4.553357e+00 -1.761360e+00 -1.152918e+00 -7.296689e-01 -3.101803e-01 -6.427249e-01 5.053989e-02 -5.197208e-01 2.124419e+00 -1.093893e+00 -2.393841e-01 2.199498e+00 2.817109e-02 3.789610e+00 7.636612e-01 -3.110324e-01 2.382997e+00 2.663852e-01 -3.519487e-01 -1.187867e+00 2.553950e+00 8.392355e-02 1.805789e+00 -3.781241e-01 -4.674557e-01 6.416660e-01 -6.718444e-01 -1.721812e+00 1.296797e+00 2.133443e+00 1.963448e-01 -7.681887e-01 1.313652e-01 -1.096326e-01 -1.627969e-01 6.793071e-02 4.828081e-01 1.514276e+00 6.830540e-01 -1.889245e+00 9.950141e-01 -5.786667e-01 7.685799e-01 1.709985e+00 6.899065e-01 6.716478e-01 1.483978e+00 -1.124295e+00 1.382423e+00 -1.708833e+00 -8.647608e-01 -9.544108e-01 1.069719e+00 4.034904e-01 5.475102e-01 2.018144e-02 -1.041684e+00 -7.570459e-02 8.208701e-01 6.628964e-01 1.986494e+00 2.042273e+00 -4.312820e-01 -5.717474e-01 1.107615e+00 1.139981e+00 9.870159e-01 -1.628093e+00 -7.924012e-01 1.994828e-01 1.856853e+00 -2.041834e-02 -1.463431e-01 -9.925336e-01 1.400149e-01 -2.442004e+00 -1.997219e+00 1.952751e-01 -2.002778e-01 9.038592e-01 9.163382e-01 -2.789015e-01 -2.839410e-01 -2.367930e+00 4.324251e-02 1.244443e+00 -2.849803e+00 4.948610e-01 2.072098e+00 1.417079e+00 1.107514e+00 -2.188421e+00 -6.548645e-01 5.371164e-01 6.852538e-01 -1.415664e+00 -5.192571e-01 7.370006e-01 -6.955565e-01 -5.462852e-01 -1.388911e-02 2.055442e+00 1.381074e+00 1.315497e+00 
4 77  9.302571350343883978e+02 0 0 5.136527e-01 -1.223109e+00 -2.468623e+00 -2.236842e+00 -2.721753e+00 -8.386688e-01 -9.939612e-01 1.270789e+00 -5.973686e-01 8.432047e-01 -6.064197e-01 5.470899e-01 -1.141905e+00 7.989459e-01 3.318452e+00 -1.847747e+00 -1.930725e-01 7.592311e-01 -6.468503e-01 -1.536281e+00 -1.715603e-01 -1.064472e+00 3.043134e-01 2.160747e-01 -7.248652e-02 7.772500e-01 -1.678077e+00 -2.294390e+00 -1.944995e+00 -1.503498e+00 7.241434e-01 -5.037124e-01 5.041239e-01 1.087584e+00 1.123505e+00 -1.738153e+00 -1.001009e+00 2.899464e-01 9.119964e-01 -3.311878e-01 1.320623e+00 2.957600e-01 -7.773978e-01 1.180243e+00 -1.908667e+00 3.078403e-01 -1.782215e+00 -8.313317e-01 -2.527403e+00 -1.207043e+00 3.265540e-01 -3.723525e-01 -2.335558e+00 1.689212e-01 -1.382212e-01 -1.757055e+00 -3.564472e-01 8.804981e-01 -1.089213e+00 7.002148e-01 -4.208772e-01 -2.174423e+00 3.638791e+00 5.587487e-01 -7.884368e-01 -1.690247e+00 1.140160e+00 -5.105047e-02 1.145396e+00 -6.483968e-01 -1.785081e+00 5.554183e-01 -7.616841e-01 6.825332e-01 -1.181089e-01 9.295094e-01 -7.896741e-01 -1.169129e+00 -1.150985e+00 -4.752396e+00 -1.464480e+00 -1.416428e-01 9.070946e-01 3.707437e-01 -5.429848e-01 -1.206026e+00 5.057280e-01 3.425528e-02 1.632958e+00 1.515446e+00 2.862576e+00 3.789759e+00 2.345360e-01 -9.157861e-01 1.014303e-01 7.136205e-01 -4.331940e-01 6.859967e-01 2.896737e-01 9.113144e-01 -2.761300e+00 4.964029e-01 -1.448897e+00 3.273881e+00 5.294839e-01 -5.890771e-01 2.132453e+00 6.330245e-01 1.973428e-01 -2.362792e-01 7.247749e-01 1.780137e+00 2.793914e+00 3.340031e+00 3.459749e-01 -1.336981e-01 1.982383e+00 1.981723e+00 8.100724e-01 1.634225e+00 1.649254e+00 -1.089600e+00 -1.840788e+00 -7.789474e-01 3.879180e-01 2.355981e-01 -2.462460e-01 7.905771e-01 -2.067487e+00 -3.489073e-01 -1.931961e+00 4.717417e-01 -3.062844e+00 5.753861e-01 1.141816e+00 2.811900e-01 1.668849e+00 4.403931e-01 1.171560e+00 -1.933212e+00 -6.408565e-02 -6.653853e-01 -6.163383e-01 5.924050e+00 -1.212142e+00 5.029663e-02 1.591963e+00 3.357119e+00 -6.969574e-01 6.706473e-01 
5 96  9.383043115438304085e+02 0 0 -5.691381e-01 -1.000159e+00 -5.057499e+00 -4.481990e+00 1.156631e-01 1.916495e+00 2.523057e+00 -2.213097e-01 8.554677e-01 1.869826e+00 7.630731e-02 1.127950e+00 -1.161188e+00 3.326485e+00 1.342301e+00 5.117510e-01 -1.042508e+00 -3.335423e-01 3.883427e+00 1.133807e+00 -7.056099e-02 4.748671e-01 -4.887759e+00 -1.653057e+00 -2.335525e+00 -1.844492e+00 -6.107245e-01 -1.328245e+00 -9.621282e-02 4.813220e-01 1.590149e+00 -7.687851e-02 -7.272544e-01 -2.219336e-01 1.599724e+00 -3.027505e+00 9.219434e-01 -1.357666e+00 1.022244e+00 -1.362736e+00 1.872049e+00 -2.856135e+00 -3.090822e+00 7.514976e-01 -1.571915e+00 1.901498e+00 -1.690613e+00 -5.520541e-01 -1.032188e+00 -1.785983e+00 -1.169540e+00 -5.518580e-01 -6.651162e-01 -7.904882e-01 2.275372e-01 1.383508e+00 -1.879172e-01 -9.789431e-01 -1.385451e-01 8.271497e-02 5.292468e-01 -6.453927e-01 -7.831060e-01 2.128731e-01 -1.768217e+00 -7.316548e-01 2.837402e+00 3.044477e+00 3.787707e-01 1.441850e+00 -1.364431e+00 -7.693193e-01 -6.048731e-02 9.370978e-01 1.411350e+00 7.648791e-01 -7.452928e-01 -8.096409e-02 -1.251631e+00 -1.700782e+00 -1.725718e+00 1.284042e+00 4.547102e-01 1.404001e-01 1.508663e+00 -1.441101e+00 1.848608e+00 -1.651784e+00 1.622900e+00 3.505499e+00 -1.099254e-01 1.824581e+00 4.896698e-01 -3.428270e+00 -6.960375e-02 -9.942414e-02 -1.503156e+00 3.123074e-01 1.566019e+00 1.819867e-01 7.880224e-01 1.349727e+00 -7.346585e-01 2.986699e+00 -2.557168e-02 -9.047922e-02 7.457035e-01 4.836763e-01 9.378978e-02 4.022967e-01 -4.584957e-01 7.671900e-01 3.288609e+00 9.715186e-01 8.503901e-01 -9.382421e-01 -2.428810e-01 1.420357e+00 -5.974984e-01 7.893284e-02 2.083594e+00 9.014667e-02 -3.312434e+00 -3.059854e+00 1.113489e+00 -4.328819e-01 3.989879e-01 2.796696e-01 -1.626191e+00 3.442731e-01 7.470439e-01 2.339986e+00 -2.450470e+00 -1.181451e-01 2.935742e+00 2.219751e-01 -6.257612e-01 -1.629299e+00 -2.826194e-01 6.748866e-01 3.809153e-01 -2.816766e+00 1.599879e-01 4.180291e+00 -1.082563e+00 -1.022914e+00 2.808315e-02 4.686492e-01 1.647947e+00 2.699388e+00 
6 115  9.235319546020755297e+02 0 0 -1.850189e-01 2.268601e+00 -4.603518e-01 -3.140387e+00 -1.936285e+00 -1.034808e+00 6.624612e-01 1.662031e+00 7.480698e-01 -8.455206e-01 -2.443301e+00 -3.364415e+00 9.216465e-01 1.649922e-01 9.379570e-01 2.168020e+00 3.285610e-01 1.321912e+00 -2.456119e+00 -7.371102e-01 -2.078073e+00 2.942068e+00 -1.179417e+00 1.064176e+00 -1.865717e+00 4.130851e+00 4.163439e-01 -9.849328e-01 8.152330e-01 2.278865e+00 2.699206e+00 4.298472e-01 1.237073e+00 -5.814759e-01 3.868927e-01 -1.675975e+00 -1.344025e+00 -1.634761e-01 1.301618e+00 -1.078998e+00 1.320884e+00 -1.743326e+00 -3.786866e+00 1.367254e+00 -1.898233e+00 1.850393e+00 -2.413310e+00 -4.927875e-01 -1.213678e+00 -2.075643e+00 -2.077321e+00 -9.080350e-01 7.534649e-01 -3.219058e-01 1.300599e+00 1.959205e+00 2.293115e-01 2.282751e+00 1.529603e+00 1.306209e+00 -3.176189e-01 -6.382502e-01 8.246161e-01 2.971429e-01 -2.205429e-01 -1.462533e+00 1.982167e+00 1.654901e+00 4.232467e-01 -1.423868e+00 -5.236169e-01 -7.436373e-01 -1.220469e+00 -8.400552e-01 1.252853e+00 8.115479e-01 -2.361353e-01 -6.610027e-01 -2.075518e+00 -3.930302e+00 -1.858792e+00 2.783708e-03 -3.089298e-01 1.913025e+00 4.369591e-01 -5.113319e-01 3.395060e+00 -7.250375e-01 1.043142e+00 3.097971e+00 -2.223887e-01 2.946865e+00 -3.429801e-01 -1.388696e+00 -1.168479e+00 -1.589657e+00 -1.150448e-01 8.264773e-02 8.522802e-01 2.485169e-01 1.331794e-01 -1.308199e+00 -2.802809e-01 2.985994e+00 4.252034e-01 1.603166e+00 1.631516e+00 1.104056e+00 3.360688e-01 8.403329e-01 4.544917e-01 5.199551e-01 2.516032e+00 1.112887e+00 7.399627e-01 -4.732019e-01 2.817150e-01 4.187140e-01 8.502624e-01 -9.525530e-01 6.966478e-01 -2.007397e+00 -1.669890e+00 -3.133483e+00 -5.635805e-01 -1.759246e+00 8.489131e-01 5.147679e-01 -6.752772e-01 -5.661595e-01 6.560905e-03 1.809689e+00 -2.121709e+00 -9.395474e-01 1.556723e+00 -3.215042e-01 1.527501e+00 -2.143952e+00 -9.059282e-01 7.019363e-01 -8.140777e-01 3.551584e-02 1.294046e+00 5.338055e+00 -2.098361e-01 8.538253e-01 2.768907e-01 -4.087712e-01 2.398343e+00 1.959228e+00 
7 134  9.264337710418919869e+02 0 0 -7.517471e-01 -1.809219e+00 -1.638217e+00 -3.177514e+00 -2.868582e+00 -4.088674e-01 1.609446e+00 -4.023039e-02 4.363772e-01 -1.881463e+00 -1.115879e+00 -3.657898e+00 -1.984955e+00 2.295762e+00 -1.965166e-02 -9.427536e-01 -8.048771e-01 -2.024927e+00 -2.890678e-03 2.116482e+00 1.641227e+00 1.050411e+00 -3.037089e+00 -1.881802e-01 3.233908e+00 2.749134e+00 -4.815516e-01 -2.510250e+00 -2.765285e+00 -2.036948e+00 2.476834e+00 -8.175366e-01 -4.971554e-02 -9.503283e-01 1.218004e-01 -1.257207e+00 8.935499e-01 -1.032088e+00 2.682350e+00 -2.802801e+00 2.560429e+00 -1.746271e+00 -3.557536e+00 1.484556e+00 -1.312165e+00 7.214695e-01 -4.627560e+00 -9.182646e-01 8.497765e-01 -6.347799e-01 -1.232768e+00 -1.604526e+00 -2.344400e+00 2.668686e-01 -4.260148e-01 7.615642e-01 1.254331e-02 -1.071777e+00 -2.390778e+00 2.304228e+00 3.019210e+00 1.402552e-01 1.630775e+00 -2.352295e+00 -2.522593e+00 -3.582458e-01 -2.409667e-01 3.090538e+00 1.509677e+00 6.186530e-02 -3.046841e+00 1.795039e+00 -2.066933e+00 1.432268e+00 9.650093e-01 1.152661e+00 -2.377683e+00 -1.846551e+00 -1.075151e+00 -3.646014e+00 -5.628260e-01 -2.190897e-01 7.150135e-01 -6.568331e-02 7.021868e-01 -1.098077e+00 2.291996e+00 -2.304649e+00 2.324179e+00 3.598340e+00 8.002536e-01 2.762957e+00 -1.600776e+00 -2.599919e+00 4.479196e-01 7.124167e-01 3.763711e-01 9.042339e-01 2.146692e+00 1.405446e+00 1.749048e+00 -2.348122e+00 -1.016284e+00 8.769087e-01 1.533121e+00 2.335612e+00 1.324630e+00 1.808875e+00 1.612070e+00 1.188496e+00 2.582476e-01 1.336969e-01 2.212096e+00 1.826018e+00 8.111562e-01 2.531361e-02 2.488007e-03 -1.448887e+00 -7.003712e-01 -1.760948e+00 7.082976e-01 -1.710248e+00 -7.828648e-01 4.342227e-01 -3.240919e-01 2.619614e-01 1.292830e+00 5.913266e-01 -1.716458e+00 4.593512e-01 1.275414e+00 1.837370e+00 -1.172533e-01 1.148706e+00 1.199196e+00 -1.109559e+00 2.114125e-01 -2.393976e+00 -1.861091e-01 3.607779e-01 -4.770423e-02 -2.034956e-01 1.353300e+00 6.230744e+00 2.043234e+00 -1.561908e+00 -4.748366e-01 6.285393e-01 1.427615e+00 3.772773e+00 
8 153  9.188151897116694045e+02 0 0 -1.892976e-01 -2.636117e-01 -2.784340e+00 -2.923180e+00 -2.651787e+00 1.344435e+00 2.368507e+00 -1.972024e+00 1.000112e+00 1.283535e+00 -1.368972e+00 -1.288680e+00 -2.513640e+00 1.383398e+00 3.028748e+00 1.905211e+00 8.577497e-01 -2.041530e+00 -1.999755e+00 -6.492739e-01 2.196381e+00 2.981782e+00 -3.791021e+00 4.330907e+00 6.425292e-01 7.596522e-01 1.141648e+00 -1.946281e+00 -1.621907e+00 -1.910026e+00 2.336710e+00 1.777612e+00 -1.744222e+00 -1.626313e+00 2.569582e+00 -2.819131e-01 -1.351766e+00 -9.941498e-01 1.178533e+00 -1.463958e+00 2.291340e+00 7.252584e-02 -2.855771e+00 6.702748e-01 -1.191788e+00 1.886459e+00 -4.756649e+00 -2.529780e+00 6.370966e-01 -9.900994e-01 -1.960106e+00 -3.531558e-01 -3.202033e-01 -1.676406e-01 -1.114196e+00 2.331540e-01 8.308267e-01 -5.308326e-01 -1.634076e+00 8.935636e-01 8.828880e-01 -9.889781e-01 7.210789e-02 -2.187323e+00 -1.464821e+00 -1.323643e+00 1.657062e+00 2.625904e+00 2.468720e+00 -1.018086e+00 -2.008896e+00 -1.155756e+00 1.973638e-02 7.708030e-01 7.427746e-01 -5.841078e-01 -8.492243e-01 -1.150745e+00 -1.669011e+00 -3.660347e+00 -1.931105e+00 -7.246189e-01 -4.223047e-02 -2.521251e-01 -4.645650e-02 -1.151164e+00 3.122996e+00 -6.823635e-01 1.414897e+00 2.211816e+00 1.337093e+00 2.072045e+00 -1.356120e+00 -9.599778e-01 -8.776441e-01 8.967893e-01 3.409114e-01 3.453818e-01 1.267626e+00 2.030813e+00 4.386856e-01 -1.311033e+00 -1.199981e+00 1.012185e+00 -1.045533e+00 -2.959187e-01 1.782601e+00 1.271975e+00 7.692609e-01 1.032279e+00 -1.181367e+00 1.341097e-01 1.691065e+00 -1.371298e+00 1.647202e+00 6.220517e-01 1.314739e+00 -2.011051e+00 -2.252247e-02 -1.256894e-01 3.979073e-01 -9.389025e-01 -1.416557e+00 -2.868328e+00 -6.882017e-01 6.667046e-01 9.536134e-01 -2.161995e-01 -1.829410e+00 -2.381482e-01 1.812329e-02 7.816664e-01 6.275586e-01 2.843281e-02 1.133258e+00 -2.405004e-02 1.742629e-01 -3.236049e+00 -4.926571e-01 5.709683e-01 -1.882082e+00 3.526245e-02 1.089819e+00 2.783852e+00 1.461540e+00 3.065552e-01 1.931870e-02 -2.203638e+00 1.684564e-02 3.162779e+00 
9 172  9.182417909834231295e+02 0 0 -2.285519e-01 -1.173014e+00 -2.081151e+00 -3.389049e+00 -1.150720e+00 1.224794e+00 1.448448e+00 1.362758e+00 1.450030e+00 -1.736569e+00 -4.323433e+00 -1.101412e+00 -3.941685e-01 4.092687e+00 4.493762e+00 3.409073e+00 1.962612e+00 -1.760406e-01 -5.431636e-01 2.319610e+00 -8.815198e-01 2.645832e+00 -2.063641e+00 2.373795e+00 -2.601963e-01 1.168762e+00 4.298103e-01 -2.404922e+00 -1.404880e+00 1.448554e-01 3.464271e+00 8.587033e-01 2.229990e-01 -8.606499e-01 1.849794e+00 -3.049049e+00 -1.897697e-01 -2.297897e+00 8.140485e-01 -2.946583e+00 3.142380e+00 -9.172414e-01 -3.206045e+00 7.037981e-02 -5.509779e-01 9.105593e-01 -3.281113e+00 -1.312842e+00 4.610747e-01 7.341443e-01 -1.350412e+00 -6.216451e-01 -2.041757e+00 3.721664e-01 -1.067515e+00 4.354644e-01 2.623984e-01 -1.103661e+00 -1.941610e+00 1.373565e+00 2.302577e+00 -1.268158e+00 1.676837e+00 -8.308174e-01 6.006246e-01 -1.222064e-01 -1.154101e+00 2.482467e+00 2.510565e+00 -2.752824e+00 -2.195353e+00 8.277586e-01 -8.725574e-01 2.123234e-01 -2.060405e-01 -7.219382e-01 -1.557356e+00 -6.062133e-01 -1.206095e+00 -2.632456e+00 -2.126504e+00 -6.614903e-01 -1.365118e+00 -1.404505e+00 -7.075802e-01 -1.024240e+00 9.109329e-01 -7.921882e-01 1.168848e+00 2.234655e+00 7.030262e-01 -6.036980e-01 -1.097473e+00 6.498172e-01 7.510156e-01 5.214358e-02 -1.760856e+00 1.233574e-01 7.236452e-01 1.401413e+00 -1.439492e+00 -1.008064e+00 -1.741941e+00 8.493156e-01 1.571518e-02 2.134767e+00 4.601562e-01 2.989560e+00 1.808164e+00 1.057000e+00 -1.330672e+00 5.424711e-01 6.893950e-01 5.193027e-01 2.107815e+00 7.661007e-01 2.685777e-01 -1.152030e+00 -5.963404e-01 -9.116448e-01 3.135261e+00 -8.364371e-01 -1.263176e+00 -3.745526e-01 5.440752e-01 -5.093645e-01 -5.936290e-03 -1.005141e+00 -1.666142e+00 -1.209371e+00 -1.526047e+00 1.065727e+00 8.071995e-01 8.763791e-01 -9.224622e-01 -1.374203e+00 -9.499879e-01 -1.581658e+00 2.048188e+00 3.380102e-02 -1.206468e+00 -2.027919e+00 2.044893e+00 4.261257e+00 2.023364e+00 -1.560949e+00 -4.148330e-01 -1.039415e+00 -2.133433e-01 3.160835e+00 
10 191  9.259547482880955158e+02 0 0 8.555215e-01 1.266210e+00 -1.103038e+00 -2.877414e+00 1.336527e+00 9.780005e-01 7.254595e-01 3.857641e-01 1.339403e+00 -1.600374e+00 -2.172883e+00 -2.339826e+00 -6.915349e-01 1.805010e+00 2.123644e+00 2.652824e+00 -2.732798e-01 -1.689017e+00 -6.004722e-01 1.297101e+00 -1.233640e+00 2.854836e+00 -3.446919e+00 -7.750365e-01 -1.925443e-01 1.262608e+00 1.095816e+00 -2.461469e+00 -8.346446e-01 8.524294e-01 -1.172784e+00 1.461427e+00 -7.175734e-01 -9.724054e-01 -1.780013e+00 -2.836497e+00 -4.492718e-01 -4.859653e+00 -6.847381e-01 -1.105325e+00 5.944320e-01 2.886399e-01 -2.951636e+00 2.301979e-01 -1.141500e+00 1.991154e+00 -3.712075e+00 -1.118969e+00 1.509623e+00 -2.078546e+00 -3.302803e+00 -9.471277e-01 -3.039787e+00 1.218196e+00 1.179070e+00 -1.131560e+00 -9.384640e-01 -3.248446e-01 -6.173657e-01 2.532306e-02 1.668513e+00 -1.190453e+00 1.250160e+00 7.850460e-02 -7.950287e-01 -6.878633e-01 3.672982e-01 2.167039e+00 2.860806e+00 -5.610086e-01 -7.291680e-01 1.042050e+00 -4.196855e-01 1.678429e-01 3.579899e-01 -2.606234e-01 -1.355402e-01 -6.989352e-01 -2.458586e+00 -4.749109e+00 -1.972727e+00 -3.163682e-01 -1.553677e+00 -7.792731e-01 -1.562855e+00 5.802711e-01 1.101367e+00 3.060260e-01 1.736676e+00 2.647987e+00 -1.859895e-01 3.237273e-02 3.161709e-02 -2.909990e+00 7.989716e-02 7.361322e-01 -6.393701e-01 6.006821e-02 1.061856e+00 3.028409e+00 4.483048e-01 -8.436879e-01 -3.875339e-01 -4.132422e-01 4.159370e-02 2.014133e+00 1.451058e+00 -6.469147e-02 1.067457e+00 5.264297e-01 -8.395613e-01 2.320847e-01 1.718537e+00 2.427727e+00 2.800809e+00 7.797286e-01 -5.897488e-01 -1.502697e+00 1.684696e+00 1.331764e-01 1.623718e+00 2.738768e-01 -2.006666e+00 -4.120971e-01 6.239738e-01 5.854053e-01 4.196511e-01 -8.133903e-02 -2.158614e+00 -1.249069e+00 1.171481e+00 1.429209e+00 6.813703e-01 1.223427e+00 2.031310e-01 -7.849538e-01 3.490648e-01 -1.533436e+00 2.960472e+00 -2.198504e+00 -1.386428e+00 -1.959434e+00 1.318298e+00 3.511124e+00 7.051383e-01 -1.260531e+00 2.954610e+00 1.749679e+00 3.657481e+00 1.194380e-01 
